name,type,value,date
卡里姆-贾巴尔,,38387,1990
威尔特-张伯伦,,31419,1990
埃尔文-海耶斯,,27313,1990
奥斯卡-罗波特森,,26710,1990
约翰-哈福利切克,,26395,1990
杰里-韦斯特,,25192,1990
摩西-马龙,,24868,1990
阿历克斯-英格利什,,24850,1990
埃尔金-贝勒,,23149,1990
阿德里安-丹特利,,23120,1990
豪尔-格瑞尔,,21586,1990
沃尔特-贝拉米,,20941,1990
鲍勃-佩蒂特,,20880,1990
乔治-格文,,20708,1990
拉里-伯德,,19719,1990
鲍伯-兰尼尔,,19248,1990
盖尔-古德里奇,,19181,1990
切特-沃克,,18831,1990
鲍伯-麦克阿杜,,18787,1990
多尔夫-谢伊斯,,18438,1990
卡里姆-贾巴尔,,38387,1991
威尔特-张伯伦,,31419,1991
埃尔文-海耶斯,,27313,1991
奥斯卡-罗波特森,,26710,1991
约翰-哈福利切克,,26395,1991
摩西-马龙,,25737,1991
阿历克斯-英格利什,,25613,1991
杰里-韦斯特,,25192,1991
阿德里安-丹特利,,23177,1991
埃尔金-贝勒,,23149,1991
豪尔-格瑞尔,,21586,1991
沃尔特-贝拉米,,20941,1991
拉里-伯德,,20883,1991
鲍勃-佩蒂特,,20880,1991
乔治-格文,,20708,1991
罗波特-帕里什,,19519,1991
伯纳德-金,,19432,1991
鲍伯-兰尼尔,,19248,1991
盖尔-古德里奇,,19181,1991
沃尔特-戴维斯,,19064,1991
卡里姆-贾巴尔,,38387,1992
威尔特-张伯伦,,31419,1992
埃尔文-海耶斯,,27313,1992
摩西-马龙,,27016,1992
奥斯卡-罗波特森,,26710,1992
约翰-哈福利切克,,26395,1992
阿历克斯-英格利什,,25613,1992
杰里-韦斯特,,25192,1992
阿德里安-丹特利,,23177,1992
埃尔金-贝勒,,23149,1992
拉里-伯德,,21791,1992
豪尔-格瑞尔,,21586,1992
沃尔特-贝拉米,,20941,1992
鲍勃-佩蒂特,,20880,1992
乔治-格文,,20708,1992
罗波特-帕里什,,20634,1992
多米尼克-威尔金斯,,19975,1992
沃尔特-戴维斯,,19521,1992
伯纳德-金,,19432,1992
鲍伯-兰尼尔,,19248,1992
卡里姆-贾巴尔,,38387,1993
威尔特-张伯伦,,31419,1993
埃尔文-海耶斯,,27313,1993
摩西-马龙,,27066,1993
奥斯卡-罗波特森,,26710,1993
约翰-哈福利切克,,26395,1993
阿历克斯-英格利什,,25613,1993
杰里-韦斯特,,25192,1993
阿德里安-丹特利,,23177,1993
埃尔金-贝勒,,23149,1993
多米尼克-威尔金斯,,22096,1993
拉里-伯德,,21791,1993
罗波特-帕里什,,21628,1993
豪尔-格瑞尔,,21586,1993
迈克尔-乔丹,,21541,1993
沃尔特-贝拉米,,20941,1993
鲍勃-佩蒂特,,20880,1993
乔治-格文,,20708,1993
伯纳德-金,,19655,1993
沃尔特-戴维斯,,19521,1993
卡里姆-贾巴尔,,38387,1994
威尔特-张伯伦,,31419,1994
摩西-马龙,,27360,1994
埃尔文-海耶斯,,27313,1994
奥斯卡-罗波特森,,26710,1994
约翰-哈福利切克,,26395,1994
阿历克斯-英格利什,,25613,1994
杰里-韦斯特,,25192,1994
多米尼克-威尔金斯,,24019,1994
阿德里安-丹特利,,23177,1994
埃尔金-贝勒,,23149,1994
罗波特-帕里什,,22494,1994
拉里-伯德,,21791,1994
豪尔-格瑞尔,,21586,1994
迈克尔-乔丹,,21541,1994
沃尔特-贝拉米,,20941,1994
鲍勃-佩蒂特,,20880,1994
乔治-格文,,20708,1994
伯纳德-金,,19655,1994
汤姆-钱伯斯,,19521,1994
卡里姆-贾巴尔,,38387,1995
威尔特-张伯伦,,31419,1995
摩西-马龙,,27409,1995
埃尔文-海耶斯,,27313,1995
奥斯卡-罗波特森,,26710,1995
约翰-哈福利切克,,26395,1995
阿历克斯-英格利什,,25613,1995
多米尼克-威尔金斯,,25389,1995
杰里-韦斯特,,25192,1995
阿德里安-丹特利,,23177,1995
埃尔金-贝勒,,23149,1995
罗波特-帕里什,,22883,1995
迈克尔-乔丹,,21998,1995
拉里-伯德,,21791,1995
豪尔-格瑞尔,,21586,1995
卡尔-马龙,,21237,1995
沃尔特-贝拉米,,20941,1995
鲍勃-佩蒂特,,20880,1995
乔治-格文,,20708,1995
汤姆-钱伯斯,,20024,1995
卡里姆-贾巴尔,,38387,1996
威尔特-张伯伦,,31419,1996
摩西-马龙,,27409,1996
埃尔文-海耶斯,,27313,1996
奥斯卡-罗波特森,,26710,1996
约翰-哈福利切克,,26395,1996
阿历克斯-英格利什,,25613,1996
多米尼克-威尔金斯,,25389,1996
杰里-韦斯特,,25192,1996
迈克尔-乔丹,,24489,1996
卡尔-马龙,,23343,1996
阿德里安-丹特利,,23177,1996
罗波特-帕里什,,23173,1996
埃尔金-贝勒,,23149,1996
哈基姆-奥拉朱旺,,21840,1996
拉里-伯德,,21791,1996
豪尔-格瑞尔,,21586,1996
沃尔特-贝拉米,,20941,1996
鲍勃-佩蒂特,,20880,1996
查尔斯-巴克利,,20740,1996
卡里姆-贾巴尔,,38387,1997
威尔特-张伯伦,,31419,1997
摩西-马龙,,27409,1997
埃尔文-海耶斯,,27313,1997
迈克尔-乔丹,,26920,1997
奥斯卡-罗波特森,,26710,1997
多米尼克-威尔金斯,,26534,1997
约翰-哈福利切克,,26395,1997
阿历克斯-英格利什,,25613,1997
卡尔-马龙,,25592,1997
杰里-韦斯特,,25192,1997
哈基姆-奥拉朱旺,,23650,1997
罗波特-帕里什,,23334,1997
阿德里安-丹特利,,23177,1997
埃尔金-贝勒,,23149,1997
拉里-伯德,,21791,1997
查尔斯-巴克利,,21756,1997
豪尔-格瑞尔,,21586,1997
帕特里克-尤因,,21539,1997
沃尔特-贝拉米,,20941,1997
卡里姆-贾巴尔,,38387,1998
威尔特-张伯伦,,31419,1998
迈克尔-乔丹,,29277,1998
卡尔-马龙,,27782,1998
摩西-马龙,,27409,1998
